name,formername,status,address,city,state,zip,county,accreditedby,statelicenseno,initiallicensedate,licenseeffective,licenseexpire,licenseename,administratorname,source,link,documents,note,date_collected
A BIRTH CENTER,NA,Active,3001 W HALLANDALE BEACH BOULEVARD,HALLANDALE,FL,NA,Broward,NA,317,NA,2017-12-23T00:00:00Z,2019-12-22T00:00:00Z,NA,NA,FL Agency for Health Care Administration,http://www.floridahealthfinder.gov/facilitylocator/FacilitySearch.aspx,https://www.documentcloud.org/documents/5032727-A-Birth-Center-FL.html,NA,Apr-18
A NEW STORY BIRTH CENTER,NA,Active,16802 145TH AVENUE PO BOX 116,MILACA,MN,56353,NA,Accredited by the Commission for the Accreditation of Birth Centers,HFID-31536,3/18/15,NA,NA,NA,NA,Minnesota Department of Health,http://www.health.state.mn.us/divs/fpc/directory/2018mdhdirectory.pdf,NO DATA,NA,Jun-18
ABUNDANT LIFE BIRTH CENTER,NA,Active,611 SW FEDERAL HIGHWAY SUITE M,STUART,FL,NA,Martin,NA,355,NA,NA,2019-11-09T00:00:00Z,NA,NA,FL Agency for Health Care Administration,http://www.floridahealthfinder.gov/facilitylocator/FacilitySearch.aspx,NA,NA,Apr-18
AGAPE BIRTH AND WELLNESS CENTER,NA,Active,1346 MASON AVENUE,DAYTONA BEACH,FL,NA,Volusia,NA,349,NA,NA,2018-06-12T00:00:00Z,NA,NA,FL Agency for Health Care Administration,http://www.floridahealthfinder.gov/facilitylocator/FacilitySearch.aspx,NA,NA,Apr-18
ALASKA FAMILY HEALTH AND BIRTH CENTER,NA,Active,2054 30TH AVENUE,FAIRBANKS,AK,99701,NA,Accredited by the Commission for the Accreditation of Birth Centers,FBC-002,1997-01-01T00:00:00Z,NA,2020-06-01T00:00:00Z,NA,NA,STATE OF ALASKA DIVISION OF HEALTH CARE SERVICES HEALTH FACILITIES LICENSING CERTIFICATION,http://dhss.alaska.gov/dhcs/Documents/hflc/PDF/Health-Facilities-Licensing-and-Certification-Facilites-List.pdf,NA,NA,Jun-18
"ALBA BIRTH CENTER, LLC",NA,Active,308 E NORTHLAND AVENUE,APPLETON,WI,54911,NA,NA,NA,NA,NA,NA,NA,NA,Alba Birth Center,https://www.albabirthcenter.com/,NA,NA,Oct-18
ALL ABOUT BABIES BIRTH CENTER,NA,Active,305 FM 1830,ARGYLE,TX,76226,DENTON,NA,150008,2010-08-17T00:00:00Z,NA,2018-08-31T00:00:00Z,NA,Chris Dominguez,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,https://www.documentcloud.org/documents/5046594-AllAboutBabies.html,NA,Jun-18
ALLEN BIRTHING CENTER,NA,Active,406 WEST MAIN STREET,ALLEN,TX,75013,COLLIN,NA,150013,2010-12-22T00:00:00Z,NA,2018-12-31T00:00:00Z,NA,Jeffrey Giles,Texas Department of State Health Services,https://www.dshs.texas.gov/facilities/find-a-licensee.aspx,https://www.documentcloud.org/documents/5046595-AllenBirthingCenter.html,NA,Jun-18
"ALMA MIDWIFERY SERVICES, LLC",NA,Active,1608 SE ANKENY STREET,PORTLAND,OR,97214,MULTNOMAH,Accredited by the Commission for the Accreditation of Birth Centers,07-1561/ORSTBC01,NA,NA,2018-12-31T00:00:00Z,NA,Laura Erickson,Oregon Health Authority,http://www.oregon.gov/oha/PH/PROVIDERPARTNERRESOURCES/HEALTHCAREPROVIDERSFACILITIES/HEALTHCAREHEALTHCAREREGULATIONQUALITYIMPROVEMENT/Documents/BCList.pdf,https://www.documentcloud.org/documents/5032788-AlmaMidwiferyServices-OR.html,NA,Jul-18
ANCHORAGE BIRTH CENTER,NA,Active,"3730 RHONE CIRCLE, SUITE 103",ANCHORAGE,AK,99508,NA,Accredited by the Commission for the Accreditation of Birth Centers,FBC-015,2015-08-01T00:00:00Z,NA,2020-06-01T00:00:00Z,NA,NA,STATE OF ALASKA DIVISION OF HEALTH CARE SERVICES HEALTH FACILITIES LICENSING CERTIFICATION,http://dhss.alaska.gov/dhcs/Documents/hflc/PDF/Health-Facilities-Licensing-and-Certification-Facilites-List.pdf,NA,NA,Jun-18
ANCIENT PATHS BIRTH & WELLNESS,NA,Active,2201 N GOVERNMENT WAY UNIT C,COEUR D'ALENE,ID,83814,NA,NA,NA,NA,NA,NA,NA,NA,Ancient Paths Birth and Wellness,http://www.ancientpathsbirth.com/index.php/tour,NA,NA,Jun-18
ANCIENT PATHS MIDWIFERY,NA,Active,5849 SCHAEFER AVENUE,CHINO,CA,91710,NA,NA,NO DATA,NA,NA,NA,NA,NA,Ancient Paths Midwifery,http://ancientpathsmidwifery.com/about-us/contact-apm,NO DATA,NA,Jun-18
ANDALUZ WATERBIRTH CENTER,NA,Active,21861 NE HIDDEN SPRINGS ROAD,DUNDEE,OR,97115,YAMHILL,NA,07-1631/ORST0549,NA,NA,2018-12-31T00:00:00Z,NA,Jennifer Gallardo,Oregon Health Authority,http://www.oregon.gov/oha/PH/PROVIDERPARTNERRESOURCES/HEALTHCAREPROVIDERSFACILITIES/HEALTHCAREHEALTHCAREREGULATIONQUALITYIMPROVEMENT/Documents/BCList.pdf,NA,NA,Jul-18
ANDALUZ WATERBIRTH CENTER,NA,Active,3323 SW NAITO PARKWAY,PORTLAND,OR,97239,MULTNOMAH,Accredited by the Commission for the Accreditation of Birth Centers,07-1596/ORST0231,NA,NA,2018-12-31T00:00:00Z,NA,Jennifer Gallardo,Oregon Health Authority,http://www.oregon.gov/oha/PH/PROVIDERPARTNERRESOURCES/HEALTHCAREPROVIDERSFACILITIES/HEALTHCAREHEALTHCAREREGULATIONQUALITYIMPROVEMENT/Documents/BCList.pdf,https://www.documentcloud.org/documents/5032789-AndaluzWaterBirthCenter-OR.html,NA,Jul-18
ARRIVAL BIRTH SERVICES,NA,Active,1190 E 5425 S,SOUTH OGDEN,UT,84403,WEBER,NA,NO DATA,NA,NA,NA,NA,NA,Arrival Birth Services,https://www.arrivalsbirthservices.com/,NO DATA,NA,Jul-18
ATLANTA BIRTH CENTER,NA,Active,1 BALTIMORE PLACE NW SUITE 105,ATLANTA,GA,30308,NA,Accredited by the Commission for the Accreditation of Birth Centers,060-004,2016-07-22T00:00:00Z,2016-07-22T00:00:00Z,NA,NA,NA,Georgia Department of Human Resources,https://atlantabirthcenter.org/,https://www.documentcloud.org/documents/5032762-ATLANTABIRTHCENTER-GA.html,NA,Jun-18
AUBURN BIRTHING CENTER LLC,NA,Active,1915 WESLEY ROAD,AUBURN,IN,46706,DEKALB,Accredited by the Commission for the Accreditation of Birth Centers,18-012463-1,NA,NA,2018-12-31T00:00:00Z,NA,Thaddeus Weghorst,Indiana State Department of Health,https://www.in.gov/isdh/reports/QAMIS/birthcdir/wdirbc.htm,NA,NA,Aug-18
